1,FacialRazor,AppleCider,Solstice
2,Amberen,Oracoat,PJmasks
3,Yogourmet,Irritable,Precise
4,PJmasks,Yogourmet,Leader
5,Aquage,Motions,PJmasks
6,Oster,Nodoz,Honees
7,AuntJackies,Kinky,Leader
8,CountryFarms,Chromelin
9,Nodoz,Reliable,Honees
10,Medicado,Leader,Amberen
11,Dermend,Solstice,FacialRazor
12,MicroTouch,Compound,Solstice
13,Natural,Soltice,Natural
14,Honees,Titan,Leader
15,Precise,Heliocare,Amberen
16,Heliocare,Yogourmet,Precise
17,Titan,Oster,Natural
18,Soltice,PJmasks,Nodoz
19,Compound,Amberen,Nodoz
20,Solstice,FacialRazor,Precise